time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2023-02-12 13:08:37.631 UTC, , , , , , , , , ,589,3193549,47232, , ,4, ,177,3,0.02, , , , , , , ,4,4, ,2, ,2,1,5, ,237,63, , , , , , , , , , , , , ,7068027,2, ,6796218, , , , , , ,-1,-1,-1,-1, , , , , ,479,11562, , , , , , , , , , , , , , , , , , , , , , , , , , ,1676207317529,,, , , , , , , , , ,3145728,4294973186,2,2,1,2, , ,71,1,1,5,2, ,3,2, ,71, ,10032,8,260,2, , , ,16668993,1250,5662,1, , , , , , ,47,55,105365376, , , , , , , ,207, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-02-12 13:09:37.633 UTC, , , , , , , , , ,1053,6930317,3782864,672, ,73,5,136519,68,0.00, , , , , , , ,73,10, , ,5,3,2,9, ,147066,7770, , , , , , , , , , , , , ,7068027,2, ,6796218, , , , ,7077557,24284221440,75,75,75,75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7077557,1676207317529,,, , , , , , , , , ,3145728,4294976743,4,4,1,4, , ,7848,3,3,3,3, ,3,5, ,7848,1,41875,26,2005,2, ,66, ,4657045,7891,1552,6, , , , , , ,115,130,179741168,1, , , , , , ,151895, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1, ,1211, ,16112,133249,467, , , , , , , , , , 
2023-02-12 13:10:37.638 UTC, , , , , , , , , ,1053,6930317,3782864,672, ,73, , , , , , , , , , , ,73,10, , , ,3,2,9, , , , , , , , , , , , , , , , ,7068027,2, ,6796218, , , , ,7077557,24284205056,75,75,75,75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7077557,1676207317529,,, , , , , , , , , ,3145728,4294976743, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,192324080,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-02-12 13:11:37.642 UTC, , , , , , , , , ,1053,6930317,3782864,672, ,73, , , , , , , , , , , ,73,10, , , ,3,2,9, , , , , , , , , , , , , , , , ,7068027,2, ,6796218, , , , ,7077557,24284192768,75,75,75,75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7077557,1676207317529,,, , , , , , , , , ,3145728,4294976743, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,204906992,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-02-12 13:12:37.645 UTC, , , , , , , , , ,1053,6930317,3782864,672, ,73, , , , , , , , , , , ,73,10, , , ,3,2,9, , , , , , , , , , , , , , , , ,7068027,2, ,6796218, , , , ,7077557,24278667264,75,75,75,75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7077557,1676207317529,,, , , , , , , , , ,3145728,4294976743, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,217489904,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-02-12 13:13:37.647 UTC, , , , , , , , , ,1053,6930317,3782864,672, ,73, , , , , , , , , , , ,73,10, , , ,3,2,9, , , , , , , , , , , , , , , , ,7068027,2, ,6796218, , , , ,7077557,24272072704,75,75,75,75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7077557,1676207317529,,, , , , , , , , , ,3145728,4294976743, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,234267120,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-02-12 13:14:37.648 UTC, , , , , , , , , ,1053,7030149,3882584,784, ,76,2,20671,3,0.00, , , , , , , ,76,11, , ,2,3,2,10, ,7563,236, , , , , , , , , , , , , ,7068027,2, ,6796218, , , , ,7078561,24271982592,75,75,75,75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7078561,1676207317529,,, , , , , , , , , ,3145728,4294977747,0,0,0,0, , ,242, , , , , ,3,2, ,242,1,10586,6,837,1, ,3, ,103631,239,167,2, , , , , , ,6,10,249057984, , , , , , , ,33951, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,6706, ,13778,6722,236, , , , , , , , , , 
2023-02-12 13:15:37.649 UTC, , , , , , , , , ,1053,7030149,3882584,784, ,76, ,7, , , , , , , , , ,76,11, , , ,3,2,10, ,6, , , , , , , , , , , , , , ,7068027,2, ,6796218, , , , ,7078561,24276664320,75,75,75,75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7078561,1676207317529,,, , , , , , , , , ,3145728,4294977747,1,1,1,1, , , , , , , , ,3,1, , ,1, , , , , , , , , , , , , , , , , , , ,270029504,1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,1, , , , , , , , , , 
2023-02-12 13:16:37.652 UTC, , , , , , , , , ,1053,7030149,3882584,784, ,76, ,127, , , , , , , , , ,76,11, , , ,3,2,10, ,7070, , , , , , , , , , , , , , ,7068027,2, ,6796218, , , , ,7078561,24275873792,75,75,75,75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7078561,1676207317529,,, , , , , , , , , ,3145728,4294977747,1,1,0,1, , , , , , , , ,3,2, , ,1, , , , , , , , , , , , , , , , , ,7,8,183615024,1, , , , , , ,7072, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7058,12,1, , , , , , , , , , 
2023-02-12 13:17:37.653 UTC, , , , , , , , , ,1053,7030149,3882584,784, ,76, ,1269, , , , , , , , , ,76,11, , , ,3,2,10, ,8318, , , , , , , , , , , , , , ,7068027,2, ,6796218, , , , ,7078561,24283660288,75,75,75,75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7078561,1676207317529,,, , , , , , , , , ,3145728,4294977747,2,2,2,2, , , , , , , , ,3,1, , ,1, , , , , , , , , , , , , , , , , ,143,129,226680384,1, , , , , , ,8325, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7172,1146,1, , , , , , , , , , 
